Method,Duration(s),ArraySize,ThreadsNumber,TotalSum
threads_v1,0.01,1000000,1,6682928
threads_v1,0.007,1000000,2,6682928
threads_v1,0.005,1000000,4,6682928
threads_v1,0.005,1000000,8,6682928
threads_v1,0.005,1000000,16,6682928
threads_v1,0.01,1000000,1,6682928
threads_v1,0.007,1000000,2,6682928
threads_v1,0.005,1000000,4,6682928
threads_v1,0.005,1000000,8,6682928
threads_v1,0.005,1000000,16,6682928
threads_v1,0.007,1000000,32,6682928
threads_v1,0.008,1000000,64,6682928
threads_v1,0.072,10000000,1,-1723988
threads_v1,0.038,10000000,2,-1723988
threads_v1,0.023,10000000,4,-1723988
threads_v1,0.026,10000000,6,-1723988
threads_v1,0.02,10000000,8,-1723988
threads_v1,0.02,10000000,16,-1723988
threads_v1,0.021,10000000,32,-1723988
threads_v1,0.017,10000000,64,-1723988
threads_v1,0.016,10000000,64,-1723988
threads_v1,0.017,10000000,128,-1723988
threads_v1,0.027,10000000,256,-1723988
threads_v1,0.043,10000000,512,-1723988
threads_v1,0.068,10000000,1024,-1723988
threads_v1,0.017,10000000,50,-1723988
threads_v1,0.019,10000000,52,-1723988
threads_v1,0.018,10000000,54,-1723988
threads_v1,0.018,10000000,56,-1723988
threads_v1,0.02,10000000,58,-1723988
threads_v1,0.019,10000000,60,-1723988
threads_v1,0.019,10000000,62,-1723988
threads_v1,0.018,10000000,64,-1723988
threads_v1,0.023,10000000,66,-1723988
threads_v1,0.018,10000000,68,-1723988
threads_v1,0.017,10000000,70,-1723988
no_threads,0.136,10000000,1,-1723988
no_threads,0.135,10000000,1,-1723988
no_threads,0.126,10000000,1,-1723988
no_threads,0.123,10000000,1,-1723988
no_threads,0.125,10000000,1,-1723988
no_threads,0.128,10000000,1,-1723988
no_threads,0.122,10000000,1,-1723988
no_threads,0.135,10000000,1,-1723988
no_threads,0.128,10000000,1,-1723988
no_threads,0.125,10000000,1,-1723988
threads_v2,0.132,10000000,1,-1723988
threads_v2,0.205,10000000,2,-1723988
threads_v2,0.252,10000000,4,-1723988
threads_v2,0.249,10000000,8,-1723988
threads_v2,0.251,10000000,16,-1723988
threads_v2,0.236,10000000,32,-1723988
threads_v2,0.24,10000000,64,-1723988
threads_v2,0.237,10000000,128,-1723988
threads_v2,0.238,10000000,256,-1723988
threads_v2,0.24,10000000,512,-1723988
threads_v2,0.263,10000000,1024,-1723988
threads_v1,0.512,100000000,1,10366148
threads_v1,0.324,100000000,2,10366148
threads_v1,0.186,100000000,4,10366148
threads_v1,0.158,100000000,8,10366148
threads_v1,0.151,100000000,16,10366148
threads_v1,0.124,100000000,32,10366148
threads_v1,0.127,100000000,64,10366148
threads_v1,0.126,100000000,128,10366148
threads_v1,0.126,100000000,256,10366148
threads_v1,0.128,100000000,512,10366148
threads_v1,0.132,100000000,1024,10366148
threads_v1,0.536,100000000,1,10366148
threads_v1,0.293,100000000,2,10366148
threads_v1,0.19,100000000,4,10366148
threads_v1,0.156,100000000,8,10366148
threads_v1,0.132,100000000,16,10366148
threads_v1,0.124,100000000,32,10366148
threads_v1,0.129,100000000,64,10366148
threads_v1,0.13,100000000,128,10366148
threads_v1,0.124,100000000,256,10366148
threads_v1,0.132,100000000,512,10366148
threads_v1,0.134,100000000,1024,10366148
threads_v1,0.501,100000000,1,10366148
threads_v1,0.298,100000000,2,10366148
threads_v1,0.227,100000000,4,10366148
threads_v1,0.152,100000000,8,10366148
threads_v1,0.138,100000000,16,10366148
threads_v1,0.126,100000000,32,10366148
threads_v1,0.129,100000000,64,10366148
threads_v1,0.129,100000000,128,10366148
threads_v1,0.127,100000000,256,10366148
threads_v1,0.135,100000000,512,10366148
threads_v1,0.134,100000000,1024,10366148
no_threads,1.118,100000000,1,10366148
no_threads,1.039,100000000,1,10366148
no_threads,1.05,100000000,1,10366148
threads_v2,1.07,100000000,1,10366148
threads_v2,1.902,100000000,2,10366148
threads_v2,2.197,100000000,4,10366148
threads_v2,2.374,100000000,8,10366148
threads_v2,2.36,100000000,16,10366148
threads_v2,2.217,100000000,32,10366148
threads_v2,2.235,100000000,64,10366148
threads_v2,2.06,100000000,128,10366148
threads_v2,2.407,100000000,256,10366148
threads_v2,2.295,100000000,512,10366148
threads_v2,2.159,100000000,1024,10366148
threads_v2,1.191,100000000,1,10366148
threads_v2,1.893,100000000,2,10366148
threads_v2,2.153,100000000,4,10366148
threads_v2,2.37,100000000,8,10366148
threads_v2,2.066,100000000,16,10366148
threads_v2,2.039,100000000,32,10366148
threads_v2,2.396,100000000,64,10366148
threads_v2,2.234,100000000,128,10366148
threads_v2,2.334,100000000,256,10366148
threads_v2,2.397,100000000,512,10366148
threads_v2,2.144,100000000,1024,10366148
threads_v2,1.122,100000000,1,10366148
threads_v2,1.813,100000000,2,10366148
threads_v2,1.956,100000000,4,10366148
threads_v2,2.432,100000000,8,10366148
threads_v2,2.168,100000000,16,10366148
threads_v2,2.249,100000000,32,10366148
threads_v2,2.118,100000000,64,10366148
threads_v2,2.388,100000000,128,10366148
threads_v2,2.261,100000000,256,10366148
threads_v2,2.424,100000000,512,10366148
threads_v2,2.352,100000000,1024,10366148
